고객ID,최초거래일,마지막거래일,거래횟수,결제금액,평균거래주기(일),평균거래주기(월),최근구매일경과일
USER_0000,2019-09-15,2019-09-15,1,21.692999999999998,,,108
USER_0001,2019-03-24,2019-11-02,31,13053.352,7.433333333333334,0.2477777777777778,60
USER_0002,2019-06-22,2019-10-19,8,1311.415,17.0,0.5666666666666667,74
USER_0003,2019-12-14,2019-12-14,11,1207.853,0.0,0.0,18
USER_0004,2019-09-15,2019-09-15,13,1235.722,0.0,0.0,108
USER_0005,2019-08-23,2019-08-23,3,594.352,0.0,0.0,131
USER_0006,2019-05-26,2019-06-25,44,6636.091,0.6976744186046512,0.023255813953488372,190
USER_0007,2019-12-07,2019-12-07,5,440.82099999999997,0.0,0.0,25
USER_0008,2019-07-05,2019-11-21,37,9612.159,3.861111111111111,0.1287037037037037,41
USER_0009,2019-07-13,2019-09-23,39,4741.927,1.894736842105263,0.06315789473684211,100
USER_0010,2019-03-27,2019-07-28,6,517.965,24.6,0.8200000000000001,157
USER_0011,2019-09-08,2019-09-08,10,700.51,0.0,0.0,115
USER_0012,2019-08-17,2019-08-31,13,2021.51,1.1666666666666667,0.03888888888888889,123
USER_0013,2019-02-09,2019-07-20,14,1303.158,12.384615384615385,0.41282051282051285,165
USER_0014,2019-09-28,2019-09-28,6,540.315,0.0,0.0,95
USER_0015,2019-12-21,2019-12-21,14,2230.661,0.0,0.0,11
USER_0016,2019-07-31,2019-08-22,10,2821.237,2.4444444444444446,0.08148148148148149,132
USER_0017,2019-12-13,2019-12-14,6,594.025,0.2,0.006666666666666667,18
USER_0018,2019-07-26,2019-08-13,24,2641.772,0.782608695652174,0.026086956521739132,141
USER_0019,2019-06-26,2019-10-18,15,1553.578,8.142857142857142,0.2714285714285714,75
USER_0020,2019-10-16,2019-10-16,6,1841.691,0.0,0.0,77
USER_0021,2019-09-19,2019-09-20,9,830.092,0.125,0.004166666666666667,103
USER_0022,2019-07-12,2019-07-12,8,663.052,0.0,0.0,173
USER_0023,2019-02-01,2019-07-14,3,1263.4560000000001,81.5,2.716666666666667,171
USER_0024,2019-04-13,2019-04-13,10,2179.071,0.0,0.0,263
USER_0025,2019-01-02,2019-11-21,32,5320.812,10.419354838709678,0.3473118279569893,41
USER_0026,2019-01-09,2019-04-10,55,13410.251,1.6851851851851851,0.056172839506172835,266
USER_0027,2019-05-23,2019-05-23,1,28.576,,,223
USER_0028,2019-08-24,2019-12-14,14,2432.926,8.615384615384615,0.28717948717948716,18
USER_0029,2019-03-28,2019-03-29,11,1423.0259999999998,0.1,0.0033333333333333335,278
USER_0030,2019-09-19,2019-09-19,57,8749.657,0.0,0.0,104
USER_0031,2019-12-18,2019-12-18,6,962.218,0.0,0.0,14
USER_0032,2019-11-10,2019-11-10,7,1344.578,0.0,0.0,52
USER_0033,2019-01-18,2019-12-16,70,13127.78,4.811594202898551,0.1603864734299517,16
USER_0034,2019-01-11,2019-10-30,67,10570.826000000001,4.424242424242424,0.14747474747474745,63
USER_0035,2019-03-06,2019-11-01,27,6342.563,9.23076923076923,0.30769230769230765,61
USER_0036,2019-05-18,2019-11-28,13,2856.25,16.166666666666668,0.538888888888889,34
USER_0037,2019-12-05,2019-12-05,2,222.517,0.0,0.0,27
USER_0038,2019-08-06,2019-08-06,14,1264.256,0.0,0.0,148
USER_0039,2019-04-11,2019-08-02,13,8643.761,9.416666666666666,0.3138888888888889,152
USER_0040,2019-07-18,2019-07-18,6,979.781,0.0,0.0,167
USER_0041,2019-08-04,2019-08-04,35,4938.908,0.0,0.0,150
USER_0042,2019-08-03,2019-08-03,6,576.254,0.0,0.0,151
USER_0043,2019-08-30,2019-08-30,22,2523.188,0.0,0.0,124
USER_0044,2019-04-12,2019-07-20,5,402.46,24.75,0.825,165
USER_0045,2019-08-13,2019-08-13,3,61.43,0.0,0.0,141
USER_0046,2019-08-02,2019-11-20,71,9356.994,1.5714285714285714,0.05238095238095238,42
USER_0047,2019-12-16,2019-12-16,21,4491.8369999999995,0.0,0.0,16
USER_0048,2019-07-27,2019-07-27,1,10.63,,,158
USER_0049,2019-09-18,2019-09-18,12,1169.951,0.0,0.0,105
USER_0050,2019-07-13,2019-07-13,4,1261.429,0.0,0.0,172
USER_0051,2019-08-22,2019-08-22,3,400.214,0.0,0.0,132
USER_0052,2019-08-13,2019-08-14,5,476.97200000000004,0.25,0.008333333333333333,140
USER_0053,2019-09-15,2019-09-15,6,1531.97,0.0,0.0,108
USER_0054,2019-11-27,2019-11-27,22,4068.46,0.0,0.0,35
USER_0055,2019-08-02,2019-08-02,8,1225.04,0.0,0.0,152
USER_0056,2019-08-12,2019-11-08,100,17828.848,0.8888888888888888,0.029629629629629627,54
USER_0057,2019-05-12,2019-12-10,32,3887.902,6.838709677419355,0.22795698924731184,22
USER_0058,2019-06-26,2019-06-26,9,1448.06,0.0,0.0,189
USER_0059,2019-08-30,2019-10-23,14,1439.696,4.153846153846154,0.13846153846153847,70
USER_0060,2019-02-02,2019-08-17,4,242.588,65.33333333333333,2.1777777777777776,137
USER_0061,2019-10-12,2019-12-11,11,2663.846,6.0,0.2,21
USER_0062,2019-02-14,2019-12-21,71,11347.089,4.428571428571429,0.14761904761904762,11
USER_0063,2019-11-16,2019-11-16,5,1348.5800000000002,0.0,0.0,46
USER_0064,2019-06-12,2019-06-12,33,5522.247,0.0,0.0,203
USER_0065,2019-07-20,2019-11-05,40,5134.77,2.769230769230769,0.0923076923076923,57
USER_0066,2019-01-01,2019-08-02,15,2267.616,15.214285714285714,0.5071428571428571,152
USER_0067,2019-07-14,2019-07-24,26,3584.57,0.4,0.013333333333333334,161
USER_0068,2019-03-04,2019-03-04,1,18.99,,,303
USER_0069,2019-11-02,2019-11-02,21,4290.46,0.0,0.0,60
USER_0070,2019-09-30,2019-09-30,5,671.0899999999999,0.0,0.0,93
USER_0071,2019-02-04,2019-12-16,8,704.901,45.0,1.5,16
USER_0072,2019-08-17,2019-08-17,4,504.218,0.0,0.0,137
USER_0073,2019-04-19,2019-04-19,2,283.19,0.0,0.0,257
USER_0074,2019-10-27,2019-10-27,4,317.9,0.0,0.0,66
USER_0075,2019-04-12,2019-06-27,20,2248.936,4.0,0.13333333333333333,188
USER_0076,2019-10-14,2019-12-16,24,5668.586,2.739130434782609,0.09130434782608696,16
USER_0077,2019-09-07,2019-12-04,34,4679.137,2.6666666666666665,0.08888888888888888,28
USER_0078,2019-09-26,2019-11-05,26,4074.178,1.6,0.05333333333333334,57
USER_0079,2019-08-18,2019-08-18,1,51.99,,,136
USER_0080,2019-11-10,2019-11-10,8,2273.314,0.0,0.0,52
USER_0081,2019-02-25,2019-06-26,28,3685.777,4.481481481481482,0.14938271604938272,189
