,고객ID,최초거래일,마지막거래일,거래횟수,결제금액,평균거래주기(일),평균거래주기(월),최근구매일경과일,recency,frequency,monetary,score
0,USER_0000,2019-09-15,2019-09-15,1,21.692999999999998,,,108,0.706043956043956,0.0,0.0002846253757601131,25.0
1,USER_0001,2019-03-24,2019-11-02,31,13053.352,7.433333333333334,0.2477777777777778,60,0.8379120879120878,0.09174311926605504,0.17866873731981153,39.0
2,USER_0002,2019-06-22,2019-10-19,8,1311.415,17.0,0.5666666666666667,74,0.7994505494505494,0.021406727828746176,0.017939009489456294,29.0
3,USER_0003,2019-12-14,2019-12-14,11,1207.853,0.0,0.0,18,0.9532967032967032,0.030581039755351678,0.01652139908381647,35.0
4,USER_0004,2019-09-15,2019-09-15,13,1235.722,0.0,0.0,108,0.706043956043956,0.03669724770642202,0.016902884420086303,27.0
5,USER_0005,2019-08-23,2019-08-23,3,594.352,0.0,0.0,131,0.6428571428571428,0.006116207951070337,0.008123478983099633,23.0
6,USER_0006,2019-05-26,2019-06-25,44,6636.091,0.6976744186046512,0.023255813953488372,190,0.4807692307692307,0.13149847094801223,0.09082593813375275,25.0
7,USER_0007,2019-12-07,2019-12-07,5,440.82099999999997,0.0,0.0,25,0.9340659340659341,0.012232415902140673,0.006021866971084728,33.0
8,USER_0008,2019-07-05,2019-11-21,37,9612.159,3.861111111111111,0.1287037037037037,41,0.8901098901098901,0.11009174311926605,0.13156390152468472,40.0
9,USER_0009,2019-07-13,2019-09-23,39,4741.927,1.894736842105263,0.06315789473684211,100,0.728021978021978,0.1162079510703364,0.06489763821304487,32.0
10,USER_0010,2019-03-27,2019-07-28,6,517.965,24.6,0.8200000000000001,157,0.5714285714285714,0.015290519877675842,0.007077854081537197,21.0
11,USER_0011,2019-09-08,2019-09-08,10,700.51,0.0,0.0,115,0.6868131868131868,0.027522935779816512,0.009576624784087566,25.0
12,USER_0012,2019-08-17,2019-08-31,13,2021.51,1.1666666666666667,0.03888888888888889,123,0.6648351648351648,0.03669724770642202,0.02765915839535624,26.0
13,USER_0013,2019-02-09,2019-07-20,14,1303.158,12.384615384615385,0.41282051282051285,165,0.5494505494505494,0.039755351681957186,0.017825983387996607,21.0
14,USER_0014,2019-09-28,2019-09-28,6,540.315,0.0,0.0,95,0.7417582417582418,0.015290519877675842,0.0073837924813947705,27.0
15,USER_0015,2019-12-21,2019-12-21,14,2230.661,0.0,0.0,11,0.9725274725274725,0.039755351681957186,0.03052212583466771,37.0
16,USER_0016,2019-07-31,2019-08-22,10,2821.237,2.4444444444444446,0.08148148148148149,132,0.6401098901098901,0.027522935779816512,0.038606236637096635,25.0
17,USER_0017,2019-12-13,2019-12-14,6,594.025,0.2,0.006666666666666667,18,0.9532967032967032,0.015290519877675842,0.008119002837383597,34.0
18,USER_0018,2019-07-26,2019-08-13,24,2641.772,0.782608695652174,0.026086956521739132,141,0.6153846153846154,0.07033639143730887,0.03614962657309487,25.0
19,USER_0019,2019-06-26,2019-10-18,15,1553.578,8.142857142857142,0.2714285714285714,75,0.7967032967032966,0.04281345565749236,0.021253862318302362,30.0
20,USER_0020,2019-10-16,2019-10-16,6,1841.691,0.0,0.0,77,0.7912087912087912,0.015290519877675842,0.025197702595625187,29.0
21,USER_0021,2019-09-19,2019-09-20,9,830.092,0.125,0.004166666666666667,103,0.7197802197802197,0.024464831804281346,0.011350410454349048,26.0
22,USER_0022,2019-07-12,2019-07-12,8,663.052,0.0,0.0,173,0.5274725274725274,0.021406727828746176,0.00906388023903768,20.0
23,USER_0023,2019-02-01,2019-07-14,3,1263.4560000000001,81.5,2.716666666666667,171,0.5329670329670328,0.006116207951070337,0.01728252180628988,19.0
24,USER_0024,2019-04-13,2019-04-13,10,2179.071,0.0,0.0,263,0.2802197802197801,0.027522935779816512,0.029815935138978573,12.0
25,USER_0025,2019-01-02,2019-11-21,32,5320.812,10.419354838709678,0.3473118279569893,41,0.8901098901098901,0.09480122324159021,0.07282171653973621,37.0
26,USER_0026,2019-01-09,2019-04-10,55,13410.251,1.6851851851851851,0.056172839506172835,266,0.2719780219780219,0.1651376146788991,0.18355415606570719,22.0
27,USER_0027,2019-05-23,2019-05-23,1,28.576,,,223,0.39010989010989006,0.0,0.00037884345210103843,14.0
28,USER_0028,2019-08-24,2019-12-14,14,2432.926,8.615384615384615,0.28717948717948716,18,0.9532967032967032,0.039755351681957186,0.033290834132081226,36.0
29,USER_0029,2019-03-28,2019-03-29,11,1423.0259999999998,0.1,0.0033333333333333335,278,0.23901098901098894,0.030581039755351678,0.01946679878460187,10.0
30,USER_0030,2019-09-19,2019-09-19,57,8749.657,0.0,0.0,104,0.7170329670329669,0.17125382262996944,0.11975752650213631,35.0
31,USER_0031,2019-12-18,2019-12-18,6,962.218,0.0,0.0,14,0.9642857142857143,0.015290519877675842,0.013159019716970156,35.0
32,USER_0032,2019-11-10,2019-11-10,7,1344.578,0.0,0.0,52,0.8598901098901098,0.018348623853211007,0.01839296184536129,31.0
33,USER_0033,2019-01-18,2019-12-16,70,13127.78,4.811594202898551,0.1603864734299517,16,0.9587912087912088,0.21100917431192662,0.17968754641263476,47.0
34,USER_0034,2019-01-11,2019-10-30,67,10570.826000000001,4.424242424242424,0.14747474747474745,63,0.8296703296703296,0.2018348623853211,0.1446866329777613,41.0
35,USER_0035,2019-03-06,2019-11-01,27,6342.563,9.23076923076923,0.30769230769230765,61,0.8351648351648351,0.07951070336391437,0.08680797452599463,35.0
36,USER_0036,2019-05-18,2019-11-28,13,2856.25,16.166666666666668,0.538888888888889,34,0.9093406593406593,0.03669724770642202,0.039085512753168815,35.0
37,USER_0037,2019-12-05,2019-12-05,2,222.517,0.0,0.0,27,0.9285714285714286,0.0030581039755351682,0.0030336085172812484,33.0
38,USER_0038,2019-08-06,2019-08-06,14,1264.256,0.0,0.0,148,0.596153846153846,0.039755351681957186,0.01729347262149731,23.0
39,USER_0039,2019-04-11,2019-08-02,13,8643.761,9.416666666666666,0.3138888888888889,152,0.5851648351648351,0.03669724770642202,0.11830796709312881,26.0
40,USER_0040,2019-07-18,2019-07-18,6,979.781,0.0,0.0,167,0.5439560439560439,0.015290519877675842,0.013399431176330271,20.0
41,USER_0041,2019-08-04,2019-08-04,35,4938.908,0.0,0.0,150,0.5906593406593406,0.10397553516819572,0.06759401637601331,27.0
42,USER_0042,2019-08-03,2019-08-03,6,576.254,0.0,0.0,151,0.5879120879120878,0.015290519877675842,0.007875744166069551,21.0
43,USER_0043,2019-08-30,2019-08-30,22,2523.188,0.0,0.0,124,0.6620879120879121,0.06422018348623852,0.03452638723489753,27.0
44,USER_0044,2019-04-12,2019-07-20,5,402.46,24.75,0.825,165,0.5494505494505494,0.012232415902140673,0.005496761693369453,20.0
45,USER_0045,2019-08-13,2019-08-13,3,61.43,0.0,0.0,141,0.6153846153846154,0.006116207951070337,0.000828566055632167,22.0
46,USER_0046,2019-08-02,2019-11-20,71,9356.994,1.5714285714285714,0.05238095238095238,42,0.8873626373626373,0.21406727828746178,0.12807107057167993,43.0
47,USER_0047,2019-12-16,2019-12-16,21,4491.8369999999995,0.0,0.0,16,0.9587912087912088,0.06116207951070337,0.06147427649401218,38.0
48,USER_0048,2019-07-27,2019-07-27,1,10.63,,,158,0.5686813186813187,0.0,0.00013318928996036654,20.0
49,USER_0049,2019-09-18,2019-09-18,12,1169.951,0.0,0.0,105,0.7142857142857142,0.033639143730886854,0.01600257683632646,27.0
50,USER_0050,2019-07-13,2019-07-13,4,1261.429,0.0,0.0,172,0.5302197802197801,0.009174311926605505,0.017254775178258054,20.0
51,USER_0051,2019-08-22,2019-08-22,3,400.214,0.0,0.0,132,0.6401098901098901,0.006116207951070337,0.005466017279674594,23.0
